scene,safe_product,archive_path,residual_experiment_scope,final_decision,reason
20221105_S2A,S2A_MSIL2A_20221105T025911_N0510_R032_T48MXU_20240716T134728.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20221105T025911_N0510_R032_T48MXU_20240716T134728.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20221215_S2A,S2A_MSIL2A_20221215T030131_N0510_R032_T48MXU_20240805T064912.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20221215T030131_N0510_R032_T48MXU_20240805T064912.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20230114_S2A,S2A_MSIL2A_20230114T030051_N0510_R032_T48MXU_20240728T132646.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20230114T030051_N0510_R032_T48MXU_20240728T132646.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20230514_S2A,S2A_MSIL2A_20230514T025521_N0510_R032_T48MXU_20240901T181458.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20230514T025521_N0510_R032_T48MXU_20240901T181458.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20230723_S2A,S2A_MSIL2A_20230723T025531_N0510_R032_T48MXU_20240916T185613.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20230723T025531_N0510_R032_T48MXU_20240916T185613.SAFE,YES,RETAIN_CYCLE0,Residual glint was not supported by the complete 30-ROI gate
20231031_S2A,S2A_MSIL2A_20231031T025831_N0510_R032_T48MXU_20241120T220101.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20231031T025831_N0510_R032_T48MXU_20241120T220101.SAFE,YES,SCENE_REJECTED,Initial screening: Cycle-0 negative-water pixels 7.38% exceed the fixed 5% image-QC limit
20231110_S2A,S2A_MSIL2A_20231110T025931_N0510_R032_T48MXU_20241030T091605.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20231110T025931_N0510_R032_T48MXU_20241030T091605.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20231220_S2A,S2A_MSIL2A_20231220T030131_N0510_R032_T48MXU_20231220T054150.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20231220T030131_N0510_R032_T48MXU_20231220T054150.SAFE,YES,RETAIN_CYCLE0,Residual glint was not supported by the complete 30-ROI gate
20240208_S2A,S2A_MSIL2A_20240208T025901_N0510_R032_T48MXU_20240208T060253.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20240208T025901_N0510_R032_T48MXU_20240208T060253.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20240329_S2A,S2A_MSIL2A_20240329T025541_N0510_R032_T48MXU_20240329T074450.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20240329T025541_N0510_R032_T48MXU_20240329T074450.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20240528_S2A,S2A_MSIL2A_20240528T025551_N0510_R032_T48MXU_20240528T075350.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20240528T025551_N0510_R032_T48MXU_20240528T075350.SAFE,YES,RETAIN_CYCLE0,Known-injection recovery failed; Cycle 1 not authorized
20240617_S2A,S2A_MSIL2A_20240617T025531_N0510_R032_T48MXU_20240617T080658.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20240617T025531_N0510_R032_T48MXU_20240617T080658.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20240727_S2A,S2A_MSIL2A_20240727T025531_N0511_R032_T48MXU_20240727T092050.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20240727T025531_N0511_R032_T48MXU_20240727T092050.SAFE,YES,RETAIN_CYCLE0,Residual glint was not supported by the complete 30-ROI gate
20240925_S2A,S2A_MSIL2A_20240925T025531_N0511_R032_T48MXU_20240925T072447.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20240925T025531_N0511_R032_T48MXU_20240925T072447.SAFE,YES,RETAIN_CYCLE1,Residual evidence and final Cycle-1 QC passed
20241025_S2A,S2A_MSIL2A_20241025T025811_N0511_R032_T48MXU_20241025T063158.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20241025T025811_N0511_R032_T48MXU_20241025T063158.SAFE,YES,RETAIN_CYCLE0,Residual glint was not supported by the complete 30-ROI gate
20250724_S2A,S2A_MSIL2A_20250724T030201_N0511_R032_T48MXU_20250724T082615.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20250724T030201_N0511_R032_T48MXU_20250724T082615.SAFE,YES,RETAIN_CYCLE0,Known-injection recovery failed; Cycle 1 not authorized
20251101_S2A,S2A_MSIL2A_20251101T030151_N0511_R032_T48MXU_20251101T090518.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20251101T030151_N0511_R032_T48MXU_20251101T090518.SAFE,YES,SCENE_REJECTED,Cycle-0 visible negative pixels exceed 1%
20251211_S2A,S2A_MSIL2A_20251211T030151_N0511_R032_T48MXU_20251211T081411.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20251211T030151_N0511_R032_T48MXU_20251211T081411.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20260619_S2A,S2A_MSIL2A_20260619T030151_N0512_R032_T48MXU_20260619T112216.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20260619T030151_N0512_R032_T48MXU_20260619T112216.SAFE,YES,SCENE_REJECTED,Cycle-0 visible negative pixels exceed 1%
20260709_S2A,S2A_MSIL2A_20260709T030151_N0512_R032_T48MXU_20260709T110608.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20260709T030151_N0512_R032_T48MXU_20260709T110608.SAFE,YES,RETAIN_CYCLE0,Known-injection recovery failed; Cycle 1 not authorized
20260808_S2A,S2A_MSIL2A_20260808T030151_N0512_R032_T48MXU_20260808T123808.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20260808T030151_N0512_R032_T48MXU_20260808T123808.SAFE,YES,RETAIN_CYCLE0,Residual glint was not supported by the complete 30-ROI gate
20200224_S2B,S2B_MSIL2A_20200224T025719_N0500_R032_T48MXU_20230423T111117.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20200224T025719_N0500_R032_T48MXU_20230423T111117.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20200524_S2B,S2B_MSIL2A_20200524T025549_N0500_R032_T48MXU_20230403T162318.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20200524T025549_N0500_R032_T48MXU_20230403T162318.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20200802_S2B,S2B_MSIL2A_20200802T025549_N0500_R032_T48MXU_20230320T044718.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20200802T025549_N0500_R032_T48MXU_20230320T044718.SAFE,YES,SCENE_REJECTED,Cycle-0 visible negative pixels exceed 1%
20200921_S2B,S2B_MSIL2A_20200921T025549_N0500_R032_T48MXU_20230401T062055.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20200921T025549_N0500_R032_T48MXU_20230401T062055.SAFE,YES,SCENE_REJECTED,Cycle-0 visible negative pixels exceed 1%
20201001_S2B,S2B_MSIL2A_20201001T025549_N0500_R032_T48MXU_20230323T102950.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20201001T025549_N0500_R032_T48MXU_20230323T102950.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20201220_S2B,S2B_MSIL2A_20201220T030129_N0500_R032_T48MXU_20230301T054224.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20201220T030129_N0500_R032_T48MXU_20230301T054224.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20210119_S2B,S2B_MSIL2A_20210119T030029_N0500_R032_T48MXU_20230520T050829.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20210119T030029_N0500_R032_T48MXU_20230520T050829.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20210228_S2B,S2B_MSIL2A_20210228T025649_N0500_R032_T48MXU_20230530T112613.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20210228T025649_N0500_R032_T48MXU_20230530T112613.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20210608_S2B,S2B_MSIL2A_20210608T025549_N0500_R032_T48MXU_20230314T064926.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20210608T025549_N0500_R032_T48MXU_20230314T064926.SAFE,YES,RETAIN_CYCLE0,Residual glint was not supported by the complete 30-ROI gate
20210718_S2B,S2B_MSIL2A_20210718T025549_N0500_R032_T48MXU_20230128T143559.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20210718T025549_N0500_R032_T48MXU_20230128T143559.SAFE,YES,RETAIN_CYCLE0,Known-injection recovery failed; Cycle 1 not authorized
20210916_S2B,S2B_MSIL2A_20210916T025539_N0500_R032_T48MXU_20230122T101307.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20210916T025539_N0500_R032_T48MXU_20230122T101307.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20211016_S2B,S2B_MSIL2A_20211016T025709_N0500_R032_T48MXU_20230106T034241.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20211016T025709_N0500_R032_T48MXU_20230106T034241.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20211125_S2B,S2B_MSIL2A_20211125T030029_N0500_R032_T48MXU_20230101T101739.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20211125T030029_N0500_R032_T48MXU_20230101T101739.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20211215_S2B,S2B_MSIL2A_20211215T030119_N0500_R032_T48MXU_20221223T221032.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20211215T030119_N0500_R032_T48MXU_20221223T221032.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20220124_S2B,S2B_MSIL2A_20220124T030009_N0510_R032_T48MXU_20240505T113622.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20220124T030009_N0510_R032_T48MXU_20240505T113622.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20220203_S2B,S2B_MSIL2A_20220203T025919_N0510_R032_T48MXU_20240510T000105.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20220203T025919_N0510_R032_T48MXU_20240510T000105.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20220414_S2B,S2B_MSIL2A_20220414T025539_N0510_R032_T48MXU_20240606T110746.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20220414T025539_N0510_R032_T48MXU_20240606T110746.SAFE,YES,RETAIN_CYCLE0,Known-injection recovery failed; Cycle 1 not authorized
20220524_S2B,S2B_MSIL2A_20220524T025549_N0510_R032_T48MXU_20240620T133710.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20220524T025549_N0510_R032_T48MXU_20240620T133710.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20221001_S2B,S2B_MSIL2A_20221001T025519_N0510_R032_T48MXU_20240724T042323.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20221001T025519_N0510_R032_T48MXU_20240724T042323.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20230218_S2B,S2B_MSIL2A_20230218T025759_N0510_R032_T48MXU_20240801T015015.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20230218T025759_N0510_R032_T48MXU_20240801T015015.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20230310_S2B,S2B_MSIL2A_20230310T025539_N0510_R032_T48MXU_20240823T141004.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20230310T025539_N0510_R032_T48MXU_20240823T141004.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20230419_S2B,S2B_MSIL2A_20230419T025529_N0510_R032_T48MXU_20240831T021632.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20230419T025529_N0510_R032_T48MXU_20240831T021632.SAFE,YES,RETAIN_CYCLE0,Known-injection recovery failed; Cycle 1 not authorized
20230628_S2B,S2B_MSIL2A_20230628T025529_N0510_R032_T48MXU_20240926T104624.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20230628T025529_N0510_R032_T48MXU_20240926T104624.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20230817_S2B,S2B_MSIL2A_20230817T025529_N0510_R032_T48MXU_20240822T114059.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20230817T025529_N0510_R032_T48MXU_20240822T114059.SAFE,YES,RETAIN_CYCLE0,Residual glint was not supported by the complete 30-ROI gate
20230916_S2B,S2B_MSIL2A_20230916T025529_N0510_R032_T48MXU_20240915T095036.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20230916T025529_N0510_R032_T48MXU_20240915T095036.SAFE,YES,RETAIN_CYCLE0,Residual glint was not supported by the complete 30-ROI gate
20240114_S2B,S2B_MSIL2A_20240114T030059_N0510_R032_T48MXU_20240114T054828.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20240114T030059_N0510_R032_T48MXU_20240114T054828.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20240413_S2B,S2B_MSIL2A_20240413T025529_N0510_R032_T48MXU_20240413T061025.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20240413T025529_N0510_R032_T48MXU_20240413T061025.SAFE,YES,RETAIN_CYCLE0,Residual glint was not supported by the complete 30-ROI gate
20240811_S2B,S2B_MSIL2A_20240811T025529_N0511_R032_T48MXU_20240811T070130.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20240811T025529_N0511_R032_T48MXU_20240811T070130.SAFE,YES,RETAIN_CYCLE0,Residual glint was not supported by the complete 30-ROI gate
20241109_S2B,S2B_MSIL2A_20241109T025829_N0511_R032_T48MXU_20241109T063821.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20241109T025829_N0511_R032_T48MXU_20241109T063821.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20241219_S2B,S2B_MSIL2A_20241219T030029_N0511_R032_T48MXU_20241219T054744.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20241219T030029_N0511_R032_T48MXU_20241219T054744.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20250108_S2B,S2B_MSIL2A_20250108T030019_N0511_R032_T48MXU_20250108T063001.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20250108T030019_N0511_R032_T48MXU_20250108T063001.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20250227_S2B,S2B_MSIL2A_20250227T025559_N0511_R032_T48MXU_20250227T055159.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20250227T025559_N0511_R032_T48MXU_20250227T055159.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20250528_S2B,S2B_MSIL2A_20250528T025529_N0511_R032_T48MXU_20250528T063458.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20250528T025529_N0511_R032_T48MXU_20250528T063458.SAFE,YES,RETAIN_CYCLE0,Residual glint was not supported by the complete 30-ROI gate
20250826_S2B,S2B_MSIL2A_20250826T025529_N0511_R032_T48MXU_20250826T063629.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20250826T025529_N0511_R032_T48MXU_20250826T063629.SAFE,YES,RETAIN_CYCLE0,Residual glint was not supported by the complete 30-ROI gate
20250915_S2B,S2B_MSIL2A_20250915T025519_N0511_R032_T48MXU_20250915T063854.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20250915T025519_N0511_R032_T48MXU_20250915T063854.SAFE,YES,RETAIN_CYCLE0,Known-injection recovery failed; Cycle 1 not authorized
20260314_S2B,S2B_MSIL2A_20260314T025539_N0512_R032_T48MXU_20260314T063900.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20260314T025539_N0512_R032_T48MXU_20260314T063900.SAFE,YES,SCENE_REJECTED,Initial screening: Full valid-water Cycle-0 negative pixels 6.86% exceed the fixed 5% image-QC limit
20260403_S2B,S2B_MSIL2A_20260403T025519_N0512_R032_T48MXU_20260403T081539.SAFE,H:\Sentinel-2\Tidung\L2A\S2B_MSIL2A_20260403T025519_N0512_R032_T48MXU_20260403T081539.SAFE,YES,SCENE_REJECTED,Initial screening: Full valid-water Cycle-0 negative pixels 11.40% exceed the fixed 5% image-QC limit
20250314_S2C,S2C_MSIL2A_20250314T025551_N0511_R032_T48MXU_20250314T073313.SAFE,H:\Sentinel-2\Tidung\L2A\S2C_MSIL2A_20250314T025551_N0511_R032_T48MXU_20250314T073313.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20250423_S2C,S2C_MSIL2A_20250423T025551_N0511_R032_T48MXU_20250423T082813.SAFE,H:\Sentinel-2\Tidung\L2A\S2C_MSIL2A_20250423T025551_N0511_R032_T48MXU_20250423T082813.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20250612_S2C,S2C_MSIL2A_20250612T025541_N0511_R032_T48MXU_20250612T080317.SAFE,H:\Sentinel-2\Tidung\L2A\S2C_MSIL2A_20250612T025541_N0511_R032_T48MXU_20250612T080317.SAFE,YES,RETAIN_CYCLE0,Residual glint was not supported by the complete 30-ROI gate
20251010_S2C,S2C_MSIL2A_20251010T025641_N0511_R032_T48MXU_20251010T071112.SAFE,H:\Sentinel-2\Tidung\L2A\S2C_MSIL2A_20251010T025641_N0511_R032_T48MXU_20251010T071112.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20260128_S2C,S2C_MSIL2A_20260128T030001_N0511_R032_T48MXU_20260128T063409.SAFE,H:\Sentinel-2\Tidung\L2A\S2C_MSIL2A_20260128T030001_N0511_R032_T48MXU_20260128T063409.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20260227_S2C,S2C_MSIL2A_20260227T025701_N0512_R032_T48MXU_20260227T071411.SAFE,H:\Sentinel-2\Tidung\L2A\S2C_MSIL2A_20260227T025701_N0512_R032_T48MXU_20260227T071411.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20260528_S2C,S2C_MSIL2A_20260528T025521_N0512_R032_T48MXU_20260528T073508.SAFE,H:\Sentinel-2\Tidung\L2A\S2C_MSIL2A_20260528T025521_N0512_R032_T48MXU_20260528T073508.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
